SKU,UPC,Category,Brand,Product Name,Title,Color,Size,images link,Description,Net Weight,Net Weigth Unit,Case Width,Case Length,Case Height,Case Unit,qty per case
F06277,F06277-WHI-L-XL,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,White,L-XL,https://canadasportswear.com/cdn/shop/files/6277_WHITE_LEFTSLANT_STICKER_79d5d8e9-fe0a-4b5f-a05e-799e70c5abac_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-RED-S-M,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Red,S-M,https://canadasportswear.com/cdn/shop/files/6277_RED_LEFTSLANT_STICKER_7b5b33bb-ef19-4fe0-baa4-52eac92eba07_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-RED-L-XL,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Red,L-XL,https://canadasportswear.com/cdn/shop/files/6277_RED_LEFTSLANT_STICKER_7b5b33bb-ef19-4fe0-baa4-52eac92eba07_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-ROY-S-M,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Royal,S-M,https://canadasportswear.com/cdn/shop/files/6277_ROYAL_LEFTSLANT_STICKER_cda1569a-37f6-4636-8ce2-eaa3693bbf62_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-ROY-L-XL,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Royal,L-XL,https://canadasportswear.com/cdn/shop/files/6277_ROYAL_LEFTSLANT_STICKER_cda1569a-37f6-4636-8ce2-eaa3693bbf62_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-OLI-S-M,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Olive,S-M,https://canadasportswear.com/cdn/shop/files/6277_OLIVE_LEFT_SLANT_STICKER_dd0f8dd4-64c2-431b-9635-315cac5a7621_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06277,F06277-OLI-L-XL,Headwear,CSW 24/7,Flexfit,Flexfit Wooly Combed Cap,Olive,L-XL,https://canadasportswear.com/cdn/shop/files/6277_OLIVE_LEFT_SLANT_STICKER_dd0f8dd4-64c2-431b-9635-315cac5a7621_2000x.png?v=1732911780,"24/7 All Day Every Day / FlexFit Wooly Combed Fitted Cap. 63% Polyester, 34% Cotton, 3% PU Spandex twill, Baseball cap with wool-like fabric, 6 panel, mid profile, structured, closed back,  stretch fitted, Permacurv visor with 8 rows of topstitching, silver under visor, sewn in FlexFit label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration.
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06606,F06606-KHA-AS,Headwear,CSW 24/7,Yupoong,YP Classic Retro Trucker Cap,Khaki,AS,https://canadasportswear.com/cdn/shop/files/6606_KHAKI_LEFTSLANT_STICKER_d15f2a0f-d96d-4a70-9d75-d9fe4ff495e5_2000x.png?v=1732911590,"24/7 All Day Every Day / YP Classics Snap Back Trucker Cap. Front Panels - 74% Polyester, 26% Cotton twill. Mid and Back Panels - 100% Polyester premium mesh, 6-panel, matching 7-position adjustable snap back closure, mid profile, structured, Permacurv visor with 8 rows of topstitching, matching under visor, sewn in Yupoong label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration. 
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06606,F06606-BLA-AS,Headwear,CSW 24/7,Yupoong,YP Classic Retro Trucker Cap,Black,AS,https://canadasportswear.com/cdn/shop/files/6606_BLACK_LEFTSLANT_STICKER_be43ecd2-5639-4075-a52d-7d51ea5e8a9c_2000x.png?v=1732911590,"24/7 All Day Every Day / YP Classics Snap Back Trucker Cap. Front Panels - 74% Polyester, 26% Cotton twill. Mid and Back Panels - 100% Polyester premium mesh, 6-panel, matching 7-position adjustable snap back closure, mid profile, structured, Permacurv visor with 8 rows of topstitching, matching under visor, sewn in Yupoong label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration. 
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
F06606,F06606-NAV-AS,Headwear,CSW 24/7,Yupoong,YP Classic Retro Trucker Cap,Navy,AS,https://canadasportswear.com/cdn/shop/files/6606_NAVY_LEFTSLANT_STICKER_d1b6ca9c-ccdd-4ac9-95f3-fd18ad321155_2000x.png?v=1732911590,"24/7 All Day Every Day / YP Classics Snap Back Trucker Cap. Front Panels - 74% Polyester, 26% Cotton twill. Mid and Back Panels - 100% Polyester premium mesh, 6-panel, matching 7-position adjustable snap back closure, mid profile, structured, Permacurv visor with 8 rows of topstitching, matching under visor, sewn in Yupoong label, tear-away 24/7 All Day Every Day label. Comes with tear-away embroidery backing for easy decoration. 
We do not offer in-house decoration on this collection.",0.21,lbs,17,24,21,in,144
